brd_id,pert_iname,candidate_rank,candidate_drug_name_norm,candidate_canonical_drug_id,similarity_score,match_rule,note
BRD-A66861218,BRD-A66861218,1,bayhdac111,1364,0.454545,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A66861218,BRD-A66861218,2,bayhdac112,1365,0.454545,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A66861218,BRD-A66861218,3,bayhdac114,1367,0.454545,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A66861218,BRD-A66861218,4,123138,1824,0.444444,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A66861218,BRD-A66861218,5,667880,1829,0.444444,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A29322418,canrenoic-acid,1,mycophenolicacid,2055,0.689655,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A29322418,canrenoic-acid,2,alphalipoicacid,2498,0.571429,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A29322418,canrenoic-acid,3,parthenolide,89,0.56,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A29322418,canrenoic-acid,4,tanespimycin,1026,0.48,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-A29322418,canrenoic-acid,5,tretinoin,1009,0.454545,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K08109516,L-701324,1,ct70332,2149,0.571429,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K08109516,L-701324,2,vnlg124,271,0.571429,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K08109516,L-701324,3,as601245,207,0.533333,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K08109516,L-701324,4,sb505124,1194,0.533333,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K08109516,L-701324,5,sb505124,476,0.533333,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
BRD-K88741031,"methyl-2,5-dihydroxycinnamate",1,methotrexate,1008,0.473684,name_similarity_difflib,normalized(lower/trim/remove hyphen underscore spaces and non-alnum)
